"Overtrædelsens art i alt";"2023";"København";93437;31358
"Overtrædelsens art i alt";"2023";"Frederiksberg";8091;1770
"Overtrædelsens art i alt";"2023";"Dragør";618;167
"Overtrædelsens art i alt";"2023";"Tårnby";6775;2966
"Overtrædelsens art i alt";"2023";"Albertslund";2572;879
"Overtrædelsens art i alt";"2023";"Ballerup";4188;1647
"Overtrædelsens art i alt";"2023";"Brøndby";3235;1059
"Overtrædelsens art i alt";"2023";"Gentofte";5137;1407
"Overtrædelsens art i alt";"2023";"Gladsaxe";5571;2379
"Overtrædelsens art i alt";"2023";"Glostrup";2660;1096
"Overtrædelsens art i alt";"2023";"Herlev";3021;1328
"Overtrædelsens art i alt";"2023";"Hvidovre";5041;2320
"Overtrædelsens art i alt";"2023";"Høje-Taastrup";4280;1640
"Overtrædelsens art i alt";"2023";"Ishøj";2197;1119
"Overtrædelsens art i alt";"2023";"Lyngby-Taarbæk";4445;1234
"Overtrædelsens art i alt";"2023";"Rødovre";3484;1289
"Overtrædelsens art i alt";"2023";"Vallensbæk";875;259
"Overtrædelsens art i alt";"2023";"Allerød";1515;618
"Overtrædelsens art i alt";"2023";"Egedal";2007;558
"Overtrædelsens art i alt";"2023";"Fredensborg";2514;1021
"Overtrædelsens art i alt";"2023";"Frederikssund";2605;905
"Overtrædelsens art i alt";"2023";"Furesø";2517;739
"Overtrædelsens art i alt";"2023";"Gribskov";2677;928
"Overtrædelsens art i alt";"2023";"Halsnæs";1804;584
"Overtrædelsens art i alt";"2023";"Helsingør";5089;1787
"Overtrædelsens art i alt";"2023";"Hillerød";3858;1512
"Overtrædelsens art i alt";"2023";"Hørsholm";1965;790
"Overtrædelsens art i alt";"2023";"Rudersdal";3546;790
"Overtrædelsens art i alt";"2023";"Bornholm";1750;927
"Overtrædelsens art i alt";"2023";"Christiansø";0;0
"Overtrædelsens art i alt";"2023";"Greve";3027;1019
"Overtrædelsens art i alt";"2023";"Køge";4219;1541
"Overtrædelsens art i alt";"2023";"Lejre";1154;343
"Overtrædelsens art i alt";"2023";"Roskilde";6467;2212
"Overtrædelsens art i alt";"2023";"Solrød";1134;309
"Overtrædelsens art i alt";"2023";"Faxe";1656;603
"Overtrædelsens art i alt";"2023";"Guldborgsund";4006;1966
"Overtrædelsens art i alt";"2023";"Holbæk";4142;1722
"Overtrædelsens art i alt";"2023";"Kalundborg";2650;956
"Overtrædelsens art i alt";"2023";"Lolland";3008;1240
"Overtrædelsens art i alt";"2023";"Næstved";4808;2049
"Overtrædelsens art i alt";"2023";"Odsherred";2270;789
"Overtrædelsens art i alt";"2023";"Ringsted";2265;792
"Overtrædelsens art i alt";"2023";"Slagelse";5937;2628
"Overtrædelsens art i alt";"2023";"Sorø";1705;752
"Overtrædelsens art i alt";"2023";"Stevns";1018;345
"Overtrædelsens art i alt";"2023";"Vordingborg";2476;1013
"Overtrædelsens art i alt";"2023";"Assens";1806;655
"Overtrædelsens art i alt";"2023";"Faaborg-Midtfyn";2438;821
"Overtrædelsens art i alt";"2023";"Kerteminde";1241;637
"Overtrædelsens art i alt";"2023";"Langeland";581;217
"Overtrædelsens art i alt";"2023";"Middelfart";2225;786
"Overtrædelsens art i alt";"2023";"Nordfyns";1389;417
"Overtrædelsens art i alt";"2023";"Nyborg";1853;742
"Overtrædelsens art i alt";"2023";"Odense";15863;6214
"Overtrædelsens art i alt";"2023";"Svendborg";3500;1482
"Overtrædelsens art i alt";"2023";"Ærø";169;49
"Overtrædelsens art i alt";"2023";"Billund";2012;920
"Overtrædelsens art i alt";"2023";"Esbjerg";8239;3654
"Overtrædelsens art i alt";"2023";"Fanø";194;61
"Overtrædelsens art i alt";"2023";"Fredericia";4814;2318
"Overtrædelsens art i alt";"2023";"Haderslev";3085;1248
"Overtrædelsens art i alt";"2023";"Kolding";6692;3050
"Overtrædelsens art i alt";"2023";"Sønderborg";4670;2548
"Overtrædelsens art i alt";"2023";"Tønder";2291;992
"Overtrædelsens art i alt";"2023";"Varde";2354;1036
"Overtrædelsens art i alt";"2023";"Vejen";1819;647
"Overtrædelsens art i alt";"2023";"Vejle";7511;3279
"Overtrædelsens art i alt";"2023";"Aabenraa";4260;2117
"Overtrædelsens art i alt";"2023";"Favrskov";1929;611
"Overtrædelsens art i alt";"2023";"Hedensted";2246;1093
"Overtrædelsens art i alt";"2023";"Horsens";6239;2790
"Overtrædelsens art i alt";"2023";"Norddjurs";1975;703
"Overtrædelsens art i alt";"2023";"Odder";839;163
"Overtrædelsens art i alt";"2023";"Randers";6416;2782
"Overtrædelsens art i alt";"2023";"Samsø";265;150
"Overtrædelsens art i alt";"2023";"Silkeborg";4631;1921
"Overtrædelsens art i alt";"2023";"Skanderborg";2406;774
"Overtrædelsens art i alt";"2023";"Syddjurs";2009;647
"Overtrædelsens art i alt";"2023";"Aarhus";31751;10378
"Overtrædelsens art i alt";"2023";"Herning";5655;2786
"Overtrædelsens art i alt";"2023";"Holstebro";3910;2044
"Overtrædelsens art i alt";"2023";"Ikast-Brande";3517;1785
"Overtrædelsens art i alt";"2023";"Lemvig";574;223
"Overtrædelsens art i alt";"2023";"Ringkøbing-Skjern";2184;731
"Overtrædelsens art i alt";"2023";"Skive";2225;1217
"Overtrædelsens art i alt";"2023";"Struer";880;487
"Overtrædelsens art i alt";"2023";"Viborg";5510;2791
"Overtrædelsens art i alt";"2023";"Brønderslev";1720;933
"Overtrædelsens art i alt";"2023";"Frederikshavn";3087;1371
"Overtrædelsens art i alt";"2023";"Hjørring";3062;1471
"Overtrædelsens art i alt";"2023";"Jammerbugt";1421;537
"Overtrædelsens art i alt";"2023";"Læsø";36;12
"Overtrædelsens art i alt";"2023";"Mariagerfjord";1857;765
"Overtrædelsens art i alt";"2023";"Morsø";704;344
"Overtrædelsens art i alt";"2023";"Rebild";969;365
"Overtrædelsens art i alt";"2023";"Thisted";1710;883
"Overtrædelsens art i alt";"2023";"Vesthimmerlands";2489;1485
"Overtrædelsens art i alt";"2023";"Aalborg";15350;6631
"Overtrædelsens art i alt";"2023";"Uoplyst kommune";41629;16472
