Kommune,antal anmeldelser,antal sigtelser,Familiernes gennemsnitlige indkomst indkomst,"m2 parker, sportsanlæg og rekreative omr pr indbygger",indbyggertal,andel_dansk_opr,andel_vestlig_opr,andel_ikke_vestlig_opr,Gennemsnitlig_pendligafstand
Københavns kommune,93437,31358,369458.0,16.0,661831.0,0.7175744,0.11660227,0.1658233,12.6
Frederiksberg kommune,8091,1770,451283.0,9.8,105196.0,0.7965892,0.09133427,0.112076506,12.4
Dragør kommune,618,167,612857.0,69.8,14457.0,0.9118766,0.043093313,0.04503009,18.1
Tårnby kommune,6775,2966,453360.0,29.0,43957.0,0.840526,0.04700048,0.112473555,13.6
Albertslund kommune,2572,879,371813.0,44.4,27545.0,0.66876024,0.04617898,0.28506082,13.6
Ballerup kommune,4188,1647,425732.0,77.6,52103.0,0.77458113,0.049133446,0.17628543,14.5
Brøndby kommune,3235,1059,369602.0,67.8,39657.0,0.59475,0.07325315,0.3319969,13.7
Gentofte kommune,5137,1407,841766.0,23.0,75053.0,0.8257631,0.07567985,0.09855702,15.0
Gladsaxe kommune,5571,2379,452971.0,28.0,70902.0,0.73745453,0.06507574,0.19746974,12.8
Glostrup kommune,2660,1096,407100.0,47.4,23899.0,0.73885936,0.055232435,0.2059082,13.3
Herlev kommune,3021,1328,422231.0,47.4,30177.0,0.75550914,0.043543097,0.20094775,12.1
Hvidovre kommune,5041,2320,415775.0,32.3,53803.0,0.77144396,0.049792763,0.17876327,13.4
Høje-Taastrup kommune,4280,1640,403194.0,57.2,58465.0,0.62348413,0.09540751,0.28110835,17.7
Ishøj kommune,2197,1119,370665.0,88.8,23791.0,0.5371359,0.07721407,0.38565004,16.5
Lyngby-Taarbæk kommune,4445,1234,576034.0,39.9,58530.0,0.8084743,0.07261234,0.118913375,14.8
Rødovre kommune,3484,1289,408912.0,30.6,44637.0,0.73152316,0.056433003,0.21204382,12.1
Vallensbæk kommune,875,259,481686.0,66.8,17960.0,0.65283966,0.07277283,0.27438754,15.5
Allerød kommune,1515,618,623509.0,85.9,25977.0,0.8898641,0.038996033,0.07113986,19.8
Egedal kommune,2007,558,536611.0,76.2,45547.0,0.8803434,0.038290117,0.0813665,20.6
Fredensborg kommune,2514,1021,520291.0,102.1,42042.0,0.79931974,0.07016793,0.13051234,22.9
Frederikssund kommune,2605,905,451448.0,51.8,46856.0,0.89668345,0.035470378,0.067846164,24.7
Furesø kommune,2517,739,595290.0,50.3,42553.0,0.8302587,0.05581275,0.11392851,17.1
Gribskov kommune,2677,928,453462.0,83.3,41958.0,0.8993279,0.048834547,0.051837552,27.8
Halsnæs kommune,1804,584,400688.0,58.2,31632.0,0.86693853,0.05940187,0.073659584,25.5
Helsingør kommune,5089,1787,463089.0,58.8,64016.0,0.8577856,0.045441765,0.09677268,23.6
Hillerød kommune,3858,1512,487657.0,52.1,54717.0,0.845898,0.054699637,0.09940238,20.8
Hørsholm kommune,1965,790,714201.0,110.1,24937.0,0.87119544,0.049765408,0.07903918,21.1
Rudersdal kommune,3546,790,791902.0,55.3,57308.0,0.8620437,0.052994348,0.08496196,19.2
Bornholm kommune,1750,927,352671.0,102.6,39257.0,0.9093155,0.04766029,0.043024175,26.6
Greve kommune,3027,1019,490328.0,45.1,52672.0,0.80215293,0.056614522,0.14123254,20.2
Køge kommune,4219,1541,441740.0,66.0,63003.0,0.8549593,0.04556926,0.09947146,26.0
Lejre kommune,1154,343,500433.0,78.9,29439.0,0.9076055,0.04089813,0.051496316,29.4
Roskilde kommune,6467,2212,485741.0,54.6,91360.0,0.8827058,0.036700964,0.08059326,22.5
Solrød kommune,1134,309,555059.0,35.3,24651.0,0.8864955,0.041093666,0.07241086,24.5
Faxe kommune,1656,603,409581.0,63.7,37656.0,0.88806564,0.059884217,0.05205014,32.4
Guldborgsund kommune,4006,1966,362465.0,86.5,59546.0,0.9043093,0.036207303,0.059483424,31.9
Holbæk kommune,4142,1722,428083.0,60.8,74260.0,0.8882844,0.034082953,0.07763264,29.1
Kalundborg kommune,2650,956,408552.0,63.3,48273.0,0.90321714,0.030700391,0.06608249,26.6
Lolland kommune,3008,1240,337122.0,122.8,39453.0,0.88708085,0.04134033,0.07157884,34.8
Næstved kommune,4808,2049,402361.0,61.4,84771.0,0.89438605,0.032558303,0.07305565,30.2
Odsherred kommune,2270,789,371797.0,91.0,32535.0,0.9220839,0.034424465,0.043491624,30.4
Ringsted kommune,2265,792,425882.0,46.0,36313.0,0.8240575,0.061906204,0.11403629,30.3
Slagelse kommune,5937,2628,387812.0,67.6,80185.0,0.86657107,0.029793601,0.10363534,30.3
Sorø kommune,1705,752,427191.0,61.0,30656.0,0.91766703,0.033207204,0.049125783,32.8
Stevns kommune,1018,345,435223.0,69.1,23646.0,0.90861034,0.04300939,0.048380274,32.1
Vordingborg kommune,2476,1013,383988.0,73.4,45466.0,0.90025514,0.044736728,0.05500814,36.1
Assens kommune,1806,655,403119.0,70.1,40577.0,0.90972716,0.050052986,0.04021983,27.0
Faaborg-Midtfyn kommune,2438,821,404261.0,75.0,52282.0,0.91450214,0.04060671,0.044891167,26.8
Kerteminde kommune,1241,637,419260.0,98.9,23955.0,0.8978919,0.039949905,0.062158212,25.0
Langeland kommune,581,217,338860.0,124.7,12147.0,0.9009632,0.057298098,0.0417387,29.9
Middelfart kommune,2225,786,463041.0,67.3,40351.0,0.917375,0.03219251,0.050432455,28.9
Nordfyns kommune,1389,417,404328.0,103.9,29592.0,0.9012571,0.050351445,0.048391458,27.0
Nyborg kommune,1853,742,395117.0,72.5,32214.0,0.9042342,0.027565654,0.06820016,28.4
Odense kommune,15863,6214,362497.0,51.5,209690.0,0.8229243,0.04551004,0.13156565,23.3
Svendborg kommune,3500,1482,403390.0,61.9,59835.0,0.9162697,0.024868388,0.05886187,27.4
Ærø kommune,169,49,333121.0,170.5,5919.0,0.88376415,0.08396689,0.032268964,24.5
Billund kommune,2012,920,443805.0,114.0,27179.0,0.8202289,0.08804592,0.09172523,24.1
Esbjerg kommune,8239,3654,408834.0,67.2,115268.0,0.8771732,0.044192664,0.07863414,21.6
Fanø kommune,194,61,430493.0,101.3,3327.0,0.9128344,0.05560565,0.031559963,23.7
Fredericia kommune,4814,2318,403201.0,62.0,52475.0,0.85886616,0.04230586,0.09882801,23.7
Haderslev kommune,3085,1248,391663.0,69.9,55353.0,0.86241037,0.06525391,0.072335735,27.2
Kolding kommune,6692,3050,429135.0,62.4,95249.0,0.8497622,0.047454566,0.10278323,25.4
Sønderborg kommune,4670,2548,394121.0,83.0,74017.0,0.82566166,0.08342678,0.090911545,22.0
Tønder kommune,2291,992,395715.0,128.6,36536.0,0.8476571,0.092785195,0.059557695,26.0
Varde kommune,2354,1036,428836.0,134.1,49701.0,0.8774471,0.06718174,0.05537112,24.9
Vejen kommune,1819,647,425528.0,105.8,42885.0,0.8668299,0.06662003,0.066550076,27.1
Vejle kommune,7511,3279,453527.0,66.5,122022.0,0.83950436,0.06025143,0.10024422,27.2
Aabenraa kommune,4260,2117,401029.0,79.2,58660.0,0.82188886,0.10869417,0.06941698,25.0
Favrskov kommune,1929,611,491455.0,65.0,49335.0,0.90412486,0.043093137,0.052782,25.7
Hedensted kommune,2246,1093,459803.0,83.0,47876.0,0.897339,0.056813434,0.045847606,24.5
Horsens kommune,6239,2790,418221.0,62.0,97517.0,0.83352643,0.07163879,0.094834745,23.0
Norddjurs kommune,1975,703,375640.0,99.3,36694.0,0.8995749,0.048781816,0.05164332,25.5
Odder kommune,839,163,459467.0,70.8,23971.0,0.9127696,0.03608527,0.051145133,23.6
Randers kommune,6416,2782,391922.0,55.8,100248.0,0.89261633,0.036848616,0.07053507,24.8
Samsø kommune,265,150,358817.0,256.1,3679.0,0.89236206,0.076107636,0.031530306,20.4
Silkeborg kommune,4631,1921,468097.0,61.0,101264.0,0.9059192,0.035175383,0.058905434,27.0
Skanderborg kommune,2406,774,528174.0,67.6,65376.0,0.9202766,0.027364783,0.052358665,25.6
Syddjurs kommune,2009,647,432820.0,105.3,44033.0,0.9164717,0.0425817,0.04094656,31.0
Aarhus kommune,31751,10378,390365.0,39.2,368131.0,0.81506854,0.054635443,0.130296,21.4
Herning kommune,5655,2786,435002.0,75.9,90005.0,0.8680407,0.047841787,0.08411755,22.8
Holstebro kommune,3910,2044,425384.0,80.2,59064.0,0.8980428,0.03330286,0.06865434,24.0
Ikast-Brande kommune,3517,1785,424702.0,101.6,42954.0,0.838199,0.06467383,0.09712716,24.7
Lemvig kommune,574,223,436089.0,95.6,18986.0,0.900769,0.049826186,0.049404826,24.7
Ringkøbing-Skjern kommune,2184,731,430381.0,91.3,56019.0,0.8651529,0.07245756,0.062389545,21.8
Skive kommune,2225,1217,407677.0,81.1,44589.0,0.9135213,0.032384668,0.054094058,23.0
Struer kommune,880,487,403105.0,79.8,20409.0,0.8855897,0.04997795,0.06443236,24.6
Viborg kommune,5510,2791,429845.0,74.0,97659.0,0.8977155,0.04017039,0.06211409,24.9
Brønderslev kommune,1720,933,410545.0,87.2,36602.0,0.91680783,0.029096771,0.054095406,29.4
Frederikshavn kommune,3087,1371,390870.0,86.0,58312.0,0.9002607,0.051138703,0.048600633,27.6
Hjørring kommune,3062,1471,397553.0,95.9,63570.0,0.9079912,0.03712443,0.054884378,26.1
Jammerbugt kommune,1421,537,409908.0,136.7,38170.0,0.92881846,0.032119464,0.03906209,29.5
Læsø kommune,36,12,330960.0,223.7,1751.0,0.92747,0.054825813,0.017704168,25.3
Mariagerfjord kommune,1857,765,412607.0,72.6,41844.0,0.90593636,0.035943028,0.058120638,27.4
Morsø kommune,704,344,388518.0,105.1,19611.0,0.92815256,0.028300444,0.04354699,19.6
Rebild kommune,969,365,486463.0,84.0,30962.0,0.93466187,0.02522447,0.040113688,30.2
Thisted kommune,1710,883,404770.0,85.1,42910.0,0.90319276,0.04574691,0.05106036,22.5
Vesthimmerlands kommune,2489,1485,403184.0,169.6,35864.0,0.8934865,0.04899063,0.057522863,25.7
Aalborg kommune,15350,6631,379857.0,57.4,223041.0,0.8828108,0.03614582,0.08104339,25.5
